what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319989902380
opened,editor,oracle.eclipse.tools.weblogic.ui,2.5.0.201007221355,"oracle.eclipse.tools.weblogic.ui.WebLogicWebModuleDescriptorEditor",1319989903550
activated,editor,oracle.eclipse.tools.weblogic.ui,2.5.0.201007221355,"oracle.eclipse.tools.weblogic.ui.WebLogicWebModuleDescriptorEditor",1319989903799
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319989906654
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319989906888
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319989906951
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1319989917215
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1319989921225
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1319989928993
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1319989931770
error,log,,,"Plug-in 'org.maven.ide.eclipse.refactoring' contributed an invalid Menu Extension (Path: 'org.eclipse.jdt.ui.refactoring.menu' is invalid): org.maven.ide.eclipse.editor.RenamePomAction",1319989942643
executed,command,org.maven.ide.eclipse.launching,0.12.1.20110112-1712,"org.maven.ide.eclipse.actions.LifeCycleInstall.run",1319989949507
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319989961007
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990050295
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990052685
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990054115
activated,editor,oracle.eclipse.tools.weblogic.ui,2.5.0.201007221355,"oracle.eclipse.tools.weblogic.ui.WebLogicWebModuleDescriptorEditor",1319990056395
activated,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1319990058545
activated,editor,oracle.eclipse.tools.weblogic.ui,2.5.0.201007221355,"oracle.eclipse.tools.weblogic.ui.WebLogicWebModuleDescriptorEditor",1319990060775
activated,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1319990063115
closed,editor,oracle.eclipse.tools.weblogic.ui,2.5.0.201007221355,"oracle.eclipse.tools.weblogic.ui.WebLogicWebModuleDescriptorEditor",1319990063115
closed,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1319990068605
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319990070005
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990085718
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990101584
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990113593
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990123633
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1319990641245
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319990644825
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990727653
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990793113
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1319990793272
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1319990801435
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990814029
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990854380
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990859166
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990859449
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990899474
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990910808
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990914300
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319990955738
