what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322791832028
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322791854853
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322791955629
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewCreateRepository",1322791955638
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322791973985
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792003572
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792010707
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792026339
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewAddRepository",1322792026348
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewRefresh",1322792033170
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.navigate.linkWithEditor",1322792051989
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.navigate.linkWithEditor",1322792055509
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.navigate.linkWithEditor",1322792055787
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792064913
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792180727
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewCreateRepository",1322792180742
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792186369
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792392816
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1322792396733
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1322792396754
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1322792406787
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1322792407326
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1322792407371
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1322792407373
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1322792407507
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1322792407517
started,bundle,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor",1322792407593
started,bundle,org.maven.ide.eclipse.refactoring,0.12.1.20110112-1712,"org.maven.ide.eclipse.refactoring",1322792408095
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792410433
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792422498
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1322792422521
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792429113
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792760894
activated,perspective,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.GitRepositoryExploring",1322792769629
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1322792769661
activated,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1322792779332
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792779619
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792838883
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewAddRepository",1322792838904
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792861142
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792873136
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewPaste",1322792873152
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792887696
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792978284
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322792985642
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322793173716
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322793182831
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322793199457
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewNewRemote",1322793199463
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1322793203909
